case_index,move_severity,period,environment_seed,optimizer_seed,objective_budget_per_method,baseline_offline_error,constant_three_offline_error,best_constant_offline_error,evolved_offline_error,state_free_control_offline_error,evolved_minus_best_constant,evolved_minus_state_free_control,evolved_minus_baseline,evolved_minus_constant_three
0,1.0,2500,680007739,1757784147,100000,1.7374488953123852,2.046145654746323,2.0503742502168056,1.914015796132915,2.003497929110197,-0.1363584540838907,-0.08948213297728214,0.17656690082052973,-0.1321298586134081
1,1.0,2500,938451240,2062094392,100000,1.490670057654913,1.827047222069664,2.2660207794373535,1.9858951703988708,2.2087443845090537,-0.2801256090384827,-0.222849214110183,0.49522511274395775,0.15884794832920668
2,1.0,2500,1570092213,2040840904,100000,2.928576698320584,2.538438954541918,2.4047276982643515,2.89050900048712,3.046633021140881,0.4857813022227684,-0.15612402065376108,-0.0380676978334642,0.35207004594520175
3,1.0,2500,47533377,265419654,100000,1.404501272646481,1.8982668447806816,1.710558769805652,1.5960348714620611,2.0807740281696483,-0.11452389834359078,-0.48473915670758716,0.19153359881558019,-0.3022319733186205
4,1.0,2500,84418169,1103089826,100000,2.6285352494106844,3.741008742180733,3.3774271370790303,2.8147115053466027,3.141255059100345,-0.5627156317324276,-0.32654355375374244,0.18617625593591836,-0.9262972368341305
5,1.0,2500,1398378102,2021870377,100000,2.7004702960857982,3.2170136244345353,3.1639118091264065,2.9305017562793463,3.2844540880993036,-0.23341005284706018,-0.35395233181995733,0.23003146019354803,-0.28651186815518903
6,1.0,2500,711877735,916802762,100000,3.897007887686757,3.9601490076747363,3.838253683112578,3.520512569324929,3.4618076414316783,-0.3177411137876489,0.05870492789325077,-0.3764953183618278,-0.43963643834980726
7,1.0,2500,422830471,2025682846,100000,3.412912002024497,3.132733155246421,3.047548638678612,2.2571962090319238,2.6751469873945677,-0.7903524296466884,-0.41795077836264394,-1.1557157929925732,-0.8755369462144973
8,1.0,2500,1326119522,466544417,100000,3.849881463816038,3.1124740041431016,4.8162058908412275,3.7860622135004633,3.082236914644407,-1.0301436773407642,0.7038252988560565,-0.06381925031557456,0.6735882093573617
9,1.0,2500,1306316915,940316578,100000,2.8195015625504722,2.8797490349378756,3.063836797119939,3.2459718684948635,3.2615559458885417,0.18213507137492435,-0.015584077393678175,0.4264703059443913,0.3662228335569879
10,1.0,5000,634773509,1904481850,100000,3.7978968297143694,3.272279909197333,4.433336203766142,2.766910187818487,3.500380703708756,-1.6664260159476552,-0.7334705158902688,-1.0309866418958822,-0.505369721378846
11,1.0,5000,1419359176,399962517,100000,3.553465674274972,2.991993338978829,4.196352730650756,3.23952138443686,2.8306679600493023,-0.956831346213896,0.4088534243875577,-0.31394428983811196,0.2475280454580311
12,1.0,5000,1816335251,325589942,100000,1.8186551873819237,1.9854354101444835,2.8849333594745725,2.7920514370588796,2.7503821603559713,-0.09288192241569293,0.04166927670290832,0.9733962496769559,0.806616026914396
13,1.0,5000,741492678,1749897765,100000,3.549194345253281,2.2974695163891536,2.768056301595732,3.078538288647079,3.4760869807533017,0.3104819870513471,-0.39754869210622257,-0.4706560566062019,0.7810687722579255
14,1.0,5000,1400339336,1149348373,100000,3.8538500977430625,3.9949217760580797,3.9156041754085464,4.0905847283900565,2.6006817195176617,0.17498055298151005,1.4899030088723948,0.23673463064699396,0.09566295233197675
15,1.0,5000,2133210799,1493366073,100000,2.325322059716925,2.561667729809903,3.8779815081197344,2.797269778342669,2.8333004427690245,-1.0807117297770654,-0.036030664426355496,0.4719477186257439,0.2356020485327659
16,1.0,5000,1104551374,42585041,100000,3.7686613678029532,5.207388381267988,7.947453249088026,8.018922814921904,2.919519975957912,0.07146956583387798,5.099402838963992,4.250261447118951,2.8115344336539163
17,1.0,5000,104192522,1316829630,100000,1.479101381793218,1.4934659424957222,1.5984827667660795,1.5128430010910319,1.6117234964203393,-0.08563976567504761,-0.09888049532930743,0.03374161929781394,0.019377058595309693
18,1.0,5000,2104172076,881886271,100000,1.2341459746392303,1.6260428786215433,2.204250523003917,1.8890222828714869,1.578647101494294,-0.3152282401324302,0.3103751813771929,0.6548763082322566,0.2629794042499436
19,1.0,5000,1788146820,283084445,100000,1.089198770371478,1.3811858083511936,1.209073662682996,1.1925877728391554,0.8938953438684198,-0.016485889843840695,0.29869242897073556,0.10338900246767735,-0.18859803551203824
20,3.0,2500,1090776892,1870520035,100000,4.2494621703137705,4.367011528557231,4.052389021865412,4.066200757653412,4.427509535469827,0.01381173578799988,-0.361308777816415,-0.18326141266035822,-0.30081077090381836
21,3.0,2500,824296029,1294504971,100000,4.583945453652995,4.929005942143124,4.961138873297072,4.64326924787212,5.420316534730926,-0.3178696254249518,-0.7770472868588056,0.05932379421912515,-0.28573669427100334
22,3.0,2500,128181277,505406687,100000,3.690384038526498,3.382939928585798,4.713923873110853,3.143766001936814,2.9877477984647647,-1.5701578711740392,0.15601820347204942,-0.5466180365896838,-0.23917392664898385
23,3.0,2500,1873970169,219737675,100000,5.85836976009559,7.3011140710520275,6.013109569972132,5.934146775506737,6.588214438375323,-0.07896279446539456,-0.6540676628685862,0.07577701541114745,-1.3669672955452903
24,3.0,2500,341167087,330051077,100000,5.188566797628941,6.3818858645215215,5.911812511108846,5.418284105812944,6.341307509839296,-0.49352840529590214,-0.9230234040263516,0.2297173081840027,-0.9636017587085774
25,3.0,2500,1721118993,556611762,100000,4.5987152321357785,6.592785193105418,8.702196266800836,7.865020396508392,5.76331189757614,-0.8371758702924446,2.1017084989322514,3.2663051643726133,1.2722352034029738
26,3.0,2500,944052848,2098383794,100000,2.7851929082340834,3.000641180863881,3.2359018603284286,2.9812232935620444,3.06951527634344,-0.25467856676638423,-0.08829198278139572,0.19603038532796102,-0.01941788730183669
27,3.0,2500,1337189749,997322115,100000,4.131026262515348,4.570594949455331,3.8114666983387253,5.008472764356803,4.109737601239934,1.1970060660180777,0.8987351631168687,0.8774465018414546,0.43787781490147193
28,3.0,2500,554186975,1886991371,100000,5.136519375640179,5.764767203155379,5.869148389654382,6.1419262700700745,6.389598680031602,0.27277788041569284,-0.2476724099615275,1.0054068944298953,0.3771590669146958
29,3.0,2500,379674654,1187457967,100000,3.4364438592017676,3.635343848232491,4.029350774063617,3.6870554331380845,3.7062845010230276,-0.34229534092553227,-0.019229067884943163,0.25061157393631683,0.051711584905593355
30,3.0,5000,1963538557,1807944580,100000,2.7844779933383785,3.7501509405253244,3.9940260480230094,2.952752368334838,3.6394427537157705,-1.0412736796881714,-0.6866903853809325,0.16827437499645947,-0.7973985721904864
31,3.0,5000,624250263,439603190,100000,1.4285586210533447,1.5518150504275112,1.6052583482119576,1.4902054190014564,1.3985842828467603,-0.11505292921050114,0.09162113615469614,0.061646797948111676,-0.0616096314260548
32,3.0,5000,1841057387,1974593462,100000,3.854734832271856,4.228557529848337,3.88720010296482,4.088295016053914,3.8742947074163885,0.201094913089094,0.21400030863752573,0.23356018378205823,-0.1402625137944229
33,3.0,5000,1697938325,1860078542,100000,1.5669968558757843,3.622400431176534,3.032140025230556,3.2567373786186304,3.1716090234663663,0.22459735338807452,0.08512835515226413,1.6897405227428461,-0.36566305255790343
34,3.0,5000,1643717435,1495681633,100000,4.96062960603532,4.925022870367894,5.701097276494446,3.4517675003766404,4.665524747177705,-2.2493297761178055,-1.2137572468010647,-1.5088621056586793,-1.473255369991254
35,3.0,5000,1285691646,1397121596,100000,1.3844152306680486,1.75263445175394,3.36210042880461,1.5920587064593428,1.7648122896676948,-1.7700417223452671,-0.172753583208352,0.20764347579129416,-0.16057574529459728
36,3.0,5000,1056942644,1682683488,100000,3.02464932081216,3.804027833201509,3.577066737736114,3.614609780627525,3.2486722572436038,0.037543042891411194,0.36593752338392127,0.5899604598153649,-0.18941805257398414
37,3.0,5000,286565268,1741676339,100000,3.9735569422803905,4.5103431295648315,4.780221044045538,5.298219492175619,4.847359247787582,0.517998448130081,0.4508602443880365,1.3246625498952285,0.7878763626107874
38,3.0,5000,1404015417,1845876739,100000,3.7410579179604633,4.375890197585365,4.888236969216917,4.586829378284832,4.548112710165509,-0.3014075909320857,0.038716668119322506,0.8457714603243685,0.2109391806994667
39,3.0,5000,586629214,617540984,100000,4.86748449748478,7.455392247408391,8.321354676742024,4.62208751575378,5.595062546968192,-3.699267160988244,-0.9729750312144123,-0.245396981731,-2.8333047316546116
